"date","tests_rate","tests_rate_lower","tests_rate_upper","tests_rate_daily","tests_rate_daily_lower","tests_rate_daily_upper","cases_rate","cases_rate_lower","cases_rate_upper","cases_rate_daily","cases_rate_daily_lower","cases_rate_daily_upper","mort","icu","hosp","cases","cases_week_avg","positives","tests","people_vaccinated","people_fully_vaccinated","total_vaccinations","total_distributed"
2022-01-26,0.223659570274,0.219618568894145,0.22772521190617,0.189562547966232,0.180046047582502,0.199079048349962,0.193534350363469,0.189618101771271,0.197450598955667,0.158833837820615,0.149912378524773,0.167914608889597,23,119,601,997,1080.14285714286,1235,6515,2938345,2519264,6344280,7015170
2022-01-27,0.208255207664449,0.204222638892456,0.212287776436442,0.182776162790698,0.172601744186047,0.192950581395349,0.177934234738779,0.17406725871403,0.181801210763528,0.14713689799014,0.137656427758817,0.15680697762609,17,112,560,776,953.142857142857,1006,5504,2938540,2519295,6344409,7038270
2022-01-28,0.199070929885089,0.194996060960039,0.203145798810138,0.154952598888526,0.145962732919255,0.164105916966329,0.169048222992588,0.165158817395226,0.172965812688481,0.123134328358209,0.114823609226594,0.131614654002714,11,117,522,726,856.857142857143,948,6118,2962551,2530272,6443927,7054170
2022-01-29,0.193064796664918,0.189006377515806,0.197150824107562,0.15224084844338,0.139240506329114,0.165241190557646,0.164030546577811,0.160169321854532,0.167920372965707,0.123762376237624,0.111739745403112,0.136138613861386,17,107,506,350,819.285714285714,445,2923,2967386,2533401,6473346,7071670
2022-01-30,0.192541941199269,0.188472399091966,0.196611483306572,0.134676564156946,0.113467656415695,0.15694591728526,0.163262378793964,0.159389523208446,0.167163922198634,0.111111111111111,0.0915032679738562,0.131808278867102,12,109,477,102,813,127,943,2972266,2536446,6501697,7071670
2022-01-31,0.174786915457268,0.170813176687399,0.178789449435614,0.149242865463017,0.140797903319744,0.15768782760629,0.146702396903379,0.142920946851273,0.150483846955486,0.122409131871433,0.114598978672274,0.130369480324422,13,97,458,815,703.857142857143,1025,6868,2972437,2536462,6501697,7071670
2022-02-01,0.16577818627451,0.161764705882353,0.169822303921569,0.155650754793962,0.145654834761322,0.165850673194614,0.138404581843496,0.13460747397399,0.142233332278581,0.128080893195703,0.11860122182431,0.137560564567095,10,95,435,608,624.857142857143,763,4902,2976531,2538656,6521123,7104670
2022-02-02,0.158290155440414,0.154242227979275,0.162370466321244,0.149957337883959,0.13971843003413,0.160196245733788,0.13105108317732,0.127239903717572,0.134895694035838,0.119920494699647,0.110644876325088,0.129416961130742,13,93,405,543,560,703,4688,2980904,2541878,6546084,7122970
2022-02-03,0.152824820485029,0.148726459829291,0.156957051889988,0.146650426309379,0.135931790499391,0.157612667478685,0.126889377596258,0.123049533982616,0.130764128879115,0.122934401602404,0.112919379068603,0.133199799699549,12,87,361,491,519.285714285714,602,4105,2985780,2545416,6574594,7125970
2022-02-04,0.146135395410446,0.142018401174238,0.150288189596535,0.108792184724689,0.0996891651865009,0.117895204262877,0.121056898584906,0.1171875,0.124963148584906,0.0856492027334852,0.0774487471526196,0.0940774487471526,15,80,330,376,469.285714285714,490,4504,2990573,2549160,6603216,7165370
2022-02-05,0.142040457343887,0.137899442978599,0.146181471709176,0.106252732837779,0.0935723655443813,0.118933100131176,0.117693612210288,0.113811946485774,0.121575277934803,0.0842293906810036,0.0730286738351254,0.0958781362007168,11,76,300,188,446.142857142857,243,2287,2995087,2552943,6630032,7166170
2022-02-06,0.140592161056008,0.136462519818591,0.144758674090188,0.0856353591160221,0.0662983425414365,0.106353591160221,0.116317864725508,0.112450712769184,0.120185016681832,0.0662905500705219,0.0479548660084626,0.0846262341325811,13,75,286,47,438.285714285714,62,724,2995211,2552968,6630050,7166270
2022-02-07,0.132928263426107,0.128773030184241,0.137122696981576,0.112844909609895,0.104281636536632,0.121408182683159,0.10939764857465,0.105532291834434,0.113303269447576,0.0905189231369489,0.0827155676941085,0.0985173624658603,9,64,269,464,388.142857142857,593,5255,2995310,2552985,6630050,7166270
2022-02-08,0.127913610431948,0.123757131214344,0.132110839445803,0.134848876259365,0.124257297855851,0.145698785843451,0.106206147677915,0.102322084864684,0.110131974607417,0.1147237642083,0.104678826328311,0.125033042558816,8,62,250,434,363.285714285714,522,3871,3001982,2558175,6670594,7171870
2022-02-09,0.119998318762609,0.115879287155346,0.12415938130464,0.106843042482829,0.0971762910200967,0.116509793945561,0.100605696120967,0.096739550667984,0.104471841573951,0.0887620036335323,0.0799377108746431,0.0978458344147418,9,60,233,342,334.571428571429,420,3931,3004593,2560538,6687644,7188270
2022-02-10,0.113803641372186,0.109714630052081,0.117892652692291,0.109464082098062,0.0992018244013683,0.120011402508552,0.0944715661696794,0.0906891850288077,0.0982979284866077,0.0868167202572347,0.0774627301958492,0.0964630225080386,13,61,214,297,306.857142857143,384,3508,3004772,2560558,6687811,7190970
2022-02-11,0.107045660719686,0.103071406972223,0.111063112877446,0.0710227272727273,0.0635926573426573,0.0784527972027972,0.0888614625115705,0.0851589015735884,0.0925640234495526,0.0542825361512792,0.0478309232480534,0.0609566184649611,8,55,201,244,288,325,4576,3004872,2560577,6687904,7207670
2022-02-12,0.103829192682181,0.0998995764746976,0.10780247129197,0.0640394088669951,0.0536945812807882,0.0748768472906404,0.0860310816226566,0.0823796589036826,0.089727033886984,0.0518962075848303,0.0424151696606786,0.06187624750499,7,49,198,104,276,130,2030,3013538,2569533,6747218,7211170
2022-02-13,0.102799669090434,0.0988810031784735,0.10676187573475,0.0520156046814044,0.0364109232769831,0.0676202860858258,0.0851942286348502,0.0815538290788013,0.0888790233074362,0.0445609436435125,0.0301441677588467,0.0602883355176933,7,49,190,34,274.142857142857,40,769,3015879,2572351,6763291,7211170
2022-02-14,0.0937733773377338,0.08998899889989,0.0976017601760176,0.071931196247068,0.0648944487881157,0.0791634089132135,0.077660336796847,0.0741669652454317,0.081198495163024,0.055500298388701,0.0493335985677342,0.0618659240103441,8,46,174,279,247.714285714286,368,5116,3017080,2573615,6770469,7211170
2022-02-15,0.0832562442183164,0.0796881194661028,0.0868684198933968,0.0686945500633714,0.0608365019011407,0.0768060836501901,0.0685673365259813,0.0652553372420892,0.0718793358098733,0.0593958013312852,0.0519713261648745,0.0668202764976959,5,36,169,232,218.857142857143,271,3945,3017837,2574007,6773298,7217870
2022-02-16,0.0770048737261852,0.0735489587948604,0.0805050952591936,0.0676328502415459,0.0600050851767099,0.0755148741418764,0.0630987182370137,0.0599055543062739,0.0662918821677535,0.0548969072164948,0.0479381443298969,0.0621134020618557,4,34,157,213,200.428571428571,266,3933,3023959,2578672,6803107,7221770
2022-02-17,0.0719587255611875,0.0685644460535844,0.0753982621288921,0.0780933062880325,0.0686274509803922,0.0878972278566599,0.0589692992519848,0.0558487448946813,0.0621357441145427,0.0615966964900206,0.0529938059187887,0.0705437026841019,7,33,148,179,183.571428571429,231,2958,3028034,2581720,6819899,7254790
2022-02-18,0.0693981111685383,0.0660151294460367,0.0728280787482968,0.0528954625219353,0.0461268488342943,0.0599147656054149,0.0570816472268508,0.0539871459176387,0.0602237562485123,0.0401422764227642,0.0340447154471545,0.0464939024390244,8,28,143,158,171.285714285714,211,3989,3028122,2581739,6820017,7262790
2022-02-19,0.0694713012309579,0.0660755553459416,0.0729142102532661,0.0615700359158543,0.0513083632632119,0.0723447922011288,0.0573790072141799,0.0542257894988295,0.0605322249295304,0.0547803617571059,0.0449612403100775,0.0651162790697674,3,38,126,106,171.571428571429,120,1949,3028205,2581754,6820071,7264190
2022-02-20,0.0689915174363808,0.0655984919886899,0.0724316682375118,0.0390117035110533,0.0260078023407022,0.0533159947984395,0.0569028069505442,0.05379988543059,0.0600534657246515,0.0327225130890052,0.0209424083769634,0.0458115183246073,5,33,119,25,170.285714285714,30,769,3028205,2581754,6820071,7264190
2022-02-21,0.066039685820587,0.062577511368334,0.069553534518396,0.0606906173700732,0.0519707010812696,0.0694105336588769,0.0552012545739676,0.0520125457396759,0.0584422373235755,0.0504231311706629,0.0426657263751763,0.0585331452750353,4,28,110,143,150.857142857143,174,2867,3028205,2581754,6820071,7264190
2022-02-22,0.0629980454067058,0.0596401543627525,0.0664060542274345,0.050500920057248,0.0443672050705377,0.0566346350439583,0.0527435780513756,0.0496529361098445,0.0558848862542433,0.0446410203661798,0.0388808887060276,0.0506068710141946,8,24,108,217,148.714285714286,247,4891,3035037,2590991,6872535,7265890
